,Unnamed: 0,date,open,high,low,close,volume,adj close,dates,SMA_close,EMA_close,SMA_high,EMA_high,SMA_low,EMA_low,SMA_open,EMA_open,color,CRUP,CRDOWN,cancel
402,402,2012-02-01,29.07,29.700001,29.0,29.58,523200,29.58,2012-02-01,28.581249999999997,28.71237229337247,28.93875,29.155393474159258,27.87375025,28.087329133561205,28.21749975,28.57133035234544,green,,,
403,403,2012-02-02,29.719999,30.879999,29.610001,30.25,805700,30.25,2012-02-02,29.01625,29.0540673392897,29.3975,29.53863914656831,28.250000375,28.425700659436494,28.58124975,28.826590051824233,green,,,
404,404,2012-02-03,30.41,31.33,30.25,31.15,764500,31.15,2012-02-03,29.482499999999998,29.519830152780877,29.853749999999998,29.9367193362198,28.72625025,28.831100512895052,29.053749874999998,29.178458929196626,green,,,
405,405,2012-02-06,31.1,31.9,31.049999,31.799999,652100,31.799999,2012-02-06,29.96125,30.026534341051793,30.34,30.373003928170956,29.22625025,29.324189065585042,29.532499875,29.605468056041822,green,,,
406,406,2012-02-07,31.799999,31.799999,30.82,31.6,1021600,31.6,2012-02-07,30.293749875,30.376193376373617,30.617499875,30.690113944132964,29.57875025,29.656591495455032,29.998749749999995,30.09314159914364,green,,,
407,407,2012-02-08,31.6,32.009998,31.290001,31.93,623700,31.93,2012-02-08,30.618749875000002,30.72148373717948,30.903749749999996,30.983421512103416,29.927500374999997,30.019571385353913,30.38624975,30.427999021556165,green,,,
408,408,2012-02-09,32.0,32.900002,31.43,32.580002,1277100,32.580002,2012-02-09,30.995000125000004,31.13448779558404,31.314999875,31.409328287191546,30.29000025,30.332999966386378,30.69999975,30.777332572321463,green,,,
409,409,2012-02-10,32.259998,32.27,29.84,31.1,1874200,31.1,2012-02-10,31.248750125,31.12682384100981,31.598749875000003,31.600588667815646,30.411250125,30.223444418300517,30.994999500000002,31.10681377847225,orange,,,
410,410,2012-02-13,31.549999,32.060001,30.9,31.49,1157900,31.49,2012-02-13,31.487500125,31.20752965411874,31.893749875,31.702680297189946,30.648750125,30.373790103122623,31.304999375,31.205299383256197,,,,
411,411,2012-02-14,31.74,33.790001000000004,31.4,33.169998,1810800,33.169998,2012-02-14,31.852499875,31.643633730981243,32.257500125,32.16652934225885,30.872500000000002,30.60183674687315,31.5574995,31.324121742532597,green,,,
412,412,2012-02-15,33.099998,34.41,32.27,33.599998,2761800,33.599998,2012-02-15,32.158749625,32.07838134631874,32.642500125,32.66507837731243,31.125000000000004,30.97253969201245,31.893749250000003,31.718760910858688,green,,,
