,date,low,high,open,close,volume
128,2017-05-24,29.15,34.6,30.5824493,33.480005,5259195.395668419
129,2017-05-25,24.10162599,34.12991234,33.318,26.98396387,5922051.532805339
130,2017-05-26,23.25000001,30.0,27.0,24.27929364,5482937.19116811
131,2017-05-27,15.5,25.36999998,24.08483258,22.02549999,4814522.9723393
132,2017-05-28,19.6,24.95,22.0255,22.77722278,2876230.06163568
133,2017-05-29,21.44140002,25.49999996,22.706202,24.85927372,2618556.23241575
134,2017-05-30,22.9,26.13999997,24.75,23.58582891,2320403.9653299702
135,2017-05-31,21.81729389,25.19999999,23.5879227,24.6,2172656.28764009
136,2017-06-01,24.20531942,28.80348508,24.61,26.4,3699231.2620832706
137,2017-06-02,25.25,27.64581813,26.4,27.12999999,1906553.66140068
138,2017-06-03,25.859,27.14276997,27.12869984,26.4086232,979980.6808760599
139,2017-06-04,25.759641,27.6,26.398,27.4,1293548.92876905
140,2017-06-05,27.06138171,30.88999992,27.30000001,29.75690188,3585177.26894335
141,2017-06-06,26.99999998,30.87499999,29.97999997,29.80487287,5970606.05760981
142,2017-06-07,27.51,30.6129,29.89512458,28.1276819,2125020.71491073
143,2017-06-08,27.4,30.57437057,28.02122208,29.92144406,1812662.91159714
144,2017-06-09,29.52348907,31.48965678,29.9226496,29.54273727,2218600.7462303503
145,2017-06-10,28.4399906,30.0,29.52348908,28.64000038,1421772.67312812
146,2017-06-11,28.67000001,34.34,28.854321,33.30540572,3130330.41089414
147,2017-06-12,24.6542978,33.42999999,33.30540572,27.99999999,4055591.35497401
148,2017-06-13,27.15000002,30.09353011,27.99999999,30.02449128,1820707.88192718
149,2017-06-14,26.58992158,31.09999998,29.9899005,28.15099267,4397007.19035841
150,2017-06-15,24.0,29.3,28.23,28.62637369,5149054.8677486405
151,2017-06-16,27.01330314,33.4,28.62734755,33.3165542,7083236.74670605
152,2017-06-17,33.25722352,47.55,33.3056795,45.3769,23095274.258559603
153,2017-06-18,38.28,45.49780881,45.28327344,43.19534669,15179137.493881699
154,2017-06-19,41.9239521,49.88888887,43.22,47.03000006,14033134.4680006
155,2017-06-20,42.55,48.32211177,47.29941,44.5,6914148.38875341
156,2017-06-21,40.8,45.5,44.49999999,43.59840099,6787450.5017424505
157,2017-06-22,42.0425081,48.1,43.69356609,45.8,4246709.29338585
158,2017-06-23,44.91597881,46.36999999,45.80399999,45.1558269,2511817.8196722
159,2017-06-24,40.0,45.55517194,45.1558269,41.54470544,3113362.1489023897
160,2017-06-25,37.7,44.0,41.3337593,40.2,5171541.32123214
161,2017-06-26,32.70000011,41.0,40.2,37.91,6321070.15435619
162,2017-06-27,32.37322875,39.79999997,37.91,39.536,5828654.168305361
163,2017-06-28,37.09494451,42.55628727,39.536,41.26088487,5715095.825658469
164,2017-06-29,38.00000001,41.36730825,41.32566795,39.18070077,3364028.1950131496
165,2017-06-30,38.3,40.77293664,39.18070077,38.73858283,2212929.89575931
166,2017-07-01,35.65858435,39.10448432,38.89165921,37.11940013,2169665.67337729
167,2017-07-02,35.20117855,41.03393804,36.94047207,40.4437268,3253494.60806939
168,2017-07-03,39.5,48.0,40.29980763,45.3,11120744.627894439
169,2017-07-04,45.28184002,54.94999994,45.3,54.67,14818227.73064376
170,2017-07-05,48.54321002,55.4,54.67,52.73671021,12677634.6534568
171,2017-07-06,48.83,52.87983728,52.77,50.71525881,4299356.97890463
172,2017-07-07,44.25742184,50.99999999,50.8,45.7,8146933.43348833
